C‌DIGO OACI;CIAD;NOME;MUNIC‌PIO ATENDIDO;UF;LATITUDE;LONGITUDE
SBRD;MT0004;RONDON‌POLIS - MAESTRO MARINHO FRANCO;RONDON‌POLIS;MT;16‌ 35' 17'' S;54‌ 43' 18'' W
SBRF;PE0001;AEROPORTO INTERNACIONAL RECIFE/GUARARAPES - GILBERTO FREYRE;RECIFE;PE;8‌ 7' 35'' S;34‌ 55' 22'' W
SBRJ;RJ0002;SANTOS DUMONT;RIO DE JANEIRO;RJ;22‌ 54' 36'' S;43‌ 9' 45'' W
SBRP;SP0004;LEITE LOPES;RIBEIR‌O PRETO;SP;21‌ 8' 11'' S;47‌ 46' 36'' W
SBSG;RN0001;AEROPORTO INTERNACIONAL DO RIO GRANDE DO NORTE / S‌O GON‌ALO DO AMARANTE - GOVERNADOR ALUIZIO ALVES;NATAL;RN;5‌ 46' 8'' S;35‌ 21' 59'' W
SBSI;MT0002;PRESIDENTE JO‌O BATISTA FIGUEIREDO;SINOP;MT;11‌ 53' 6'' S;55‌ 35' 10'' W
SBSJ;SP0008;PROFESSOR URBANO ERNESTO STUMPF;S‌O JOS‌ DOS CAMPOS;SP;23‌ 13' 44'' S;45‌ 52' 16'' W
SBSL;MA0001;MARECHAL CUNHA MACHADO;S‌O LU‌S;MA;2‌ 35' 13'' S;44‌ 14' 10'' W
SBSM;RS0003;SANTA MARIA;SANTA MARIA;RS;29‌ 42' 39'' S;53‌ 41' 32'' W
SBSN;PA0002;MAESTRO WILSON FONSECA;SANTAR‌M;PA;2‌ 25' 29'' S;54‌ 47' 9'' W
SBSO;MT0005;REGIONAL DE SORRISO ADOLINO BEDIN;SORRISO;MT;12‌ 28' 22'' S;55‌ 40' 8'' W
SBSP;SP0001;S‌O PAULO/CONGONHAS - DEPUTADO FREITAS NOBRE;S‌O PAULO;SP;23‌ 37' 34'' S;46‌ 39' 23'' W
SBSR;SP0006;PROFESSOR ERIBERTO MANOEL REINO;S‌O JOS‌ DO RIO PRETO;SP;20‌ 49' 2'' S;49‌ 24' 25'' W
SBSV;BA0001;DEPUTADO LU‌S EDUARDO MAGALH‌ES;SALVADOR;BA;12‌ 54' 31'' S;38‌ 19' 21'' W
SBTB;PA0012;TROMBETAS;ORIXIMIN‌;PA;1‌ 29' 23'' S;56‌ 23' 49'' W
SBTC;BA0067;UNA/COMANDATUBA;UNA;BA;15‌ 21' 12'' S;38‌ 59' 50'' W
SBTD;PR0008;LUIZ DALCANALE FILHO;TOLEDO;PR;24‌ 41' 7'' S;53‌ 41' 47'' W
SBTE;PI0001;SENADOR PETR‌NIO PORTELLA;TERESINA;PI;5‌ 3' 38'' S;42‌ 49' 28'' W
SBTF;AM0004;PREFEITO ORLANDO MARINHO;TEF‌;AM;3‌ 22' 49'' S;64‌ 43' 31'' W
SBTG;MS0006;TR‌S LAGOAS;TR‌S LAGOAS;MS;20‌ 45' 5'' S;51‌ 40' 49'' W
SBTK;AC0004;TARAUAC‌;TARAUAC‌;AC;8‌ 9' 19'' S;70‌ 46' 59'' W
SBTT;AM0005;TABATINGA;TABATINGA;AM;4‌ 15' 2'' S;69‌ 56' 16'' W
SBTU;PA0007;TUCURU‌;TUCURU‌;PA;3‌ 46' 37'' S;49‌ 43' 11'' W
SBUA;AM0003;S‌O GABRIEL DA CACHOEIRA;S‌O GABRIEL DA CACHOEIRA;AM;0‌ 8' 53'' S;66‌ 59' 9'' W
SBUF;BA0007;PAULO AFONSO;PAULO AFONSO;BA;9‌ 24' 4'' S;38‌ 15' 4'' W
SBUG;RS0012;RUBEM BERTA;URUGUAIANA;RS;29‌ 47' 0'' S;57‌ 2' 13'' W
SBUL;MG0002;TEN CEL AVIADOR C‌SAR BOMBONATO;UBERL‌NDIA;MG;18‌ 53' 1'' S;48‌ 13' 31'' W
SBUR;MG0009;MARIO DE ALMEIDA FRANCO;UBERABA;MG;19‌ 45' 53'' S;47‌ 57' 58'' W
SBVC;BA0005;GLAUBER DE ANDRADE ROCHA;VIT‌RIA DA CONQUISTA;BA;14‌ 54' 28'' S;40‌ 54' 53'' W
SBVG;MG0019;MAJOR BRIGADEIRO TROMPOWSKY;VARGINHA;MG;21‌ 35' 20'' S;45‌ 28' 24'' W
SBVH;RO0003;VILHENA;VILHENA;RO;12‌ 41' 40'' S;60‌ 5' 54'' W
SBVT;ES0001;EURICO DE AGUIAR SALLES;VIT‌RIA;ES;20‌ 15' 29'' S;40‌ 17' 11'' W
SBZM;MG0006;PRESIDENTE ITAMAR FRANCO;GOIAN‌;MG;21‌ 30' 47'' S;43‌ 10' 23'' W
SDAA;SP0045;ARARAS;ARARAS;SP;22‌ 20' 13'' S;47‌ 21' 30'' W
SDAD;SP0046;EVERALDO MORAES BARRETO;ADAMANTINA;SP;21‌ 41' 46'' S;51‌ 5' 47'' W
