C‌DIGO OACI;CIAD;NOME;MUNIC‌PIO ATENDIDO;UF;LATITUDE;LONGITUDE
SSVN;RS0030;VERAN‌POLIS;VERAN‌POLIS;RS;28‌ 56' 8'' S;51‌ 34' 4'' W
SSWS;RS0025;CA‌APAVA DO SUL;CA‌APAVA DO SUL;RS;30‌ 32' 59'' S;53‌ 27' 29'' W
SSXX;SC0017;MUNICIPAL JO‌O WINCKLER;XANXER‌;SC;26‌ 52' 30'' S;52‌ 22' 22'' W
SSZR;RS0027;LUIS ALBERTO LEHR;SANTA ROSA;RS;27‌ 54' 32'' S;54‌ 31' 20'' W
SWBC;AM0017;BARCELOS;BARCELOS;AM;0‌ 58' 52'' S;62‌ 55' 10'' W
SWBE;CE0006;WALFRIDO SALMITO DE ALMEIDA;S‌O BENEDITO;CE;4‌ 2' 34'' S;40‌ 53' 38'' W
SWBG;MT0009;ANDR‌ ANT‌NIO MAGGI;PONTES E LACERDA;MT;15‌ 11' 36'' S;59‌ 23' 7'' W
SWBR;AM0018;BORBA;BORBA;AM;4‌ 24' 22'' S;59‌ 36' 9'' W
SWCA;AM0007;CARAUARI;CARAUARI;AM;4‌ 52' 17'' S;66‌ 53' 51'' W
SWCB;GO0023;CAMPOS BELOS;CAMPOS BELOS;GO;13‌ 0' 25'' S;46‌ 42' 39'' W
SWCQ;RO0007;COSTA MARQUES;COSTA MARQUES;RO;12‌ 25' 14'' S;64‌ 15' 6'' W
SWCZ;GO0024;CERES;CERES;GO;15‌ 20' 38'' S;49‌ 36' 16'' W
SWDM;MT0015;DIAMANTINO;DIAMANTINO;MT;14‌ 22' 36'' S;56‌ 24' 2'' W
SWDN;TO0006;DIAN‌POLIS;DIAN‌POLIS;TO;11‌ 35' 43'' S;46‌ 50' 52'' W
SWEI;AM0009;EIRUNEP‌;EIRUNEP‌;AM;6‌ 38' 22'' S;69‌ 52' 47'' W
SWEK;MT0024;CANARANA;CANARANA;MT;13‌ 34' 39'' S;52‌ 16' 5'' W
SWFN;AM0002;FLORES;MANAUS;AM;3‌ 4' 22'' S;60‌ 1' 16'' W
SWFR;GO0014;FORMOSA;FORMOSA;GO;15‌ 33' 22'' S;47‌ 20' 41'' W
SWFX;MT0022;S‌O F‌LIX DO ARAGUAIA;S‌O F‌LIX DO ARAGUAIA;MT;11‌ 37' 57'' S;50‌ 41' 22'' W
SWGI;TO0004;GURUPI;GURUPI;TO;11‌ 44' 22'' S;49‌ 8' 0'' W
SWGN;TO0002;ARAGUA‌NA;ARAGUA‌NA;TO;7‌ 13' 42'' S;48‌ 14' 27'' W
SWHP;MT0006;FREDERICO CARLOS M‌LLER;‌GUA BOA;MT;14‌ 1' 11'' S;52‌ 9' 7'' W
SWHT;AM0019;HUMAIT‌;HUMAIT‌;AM;7‌ 32' 5'' S;63‌ 4' 20'' W
SWII;AM0013;IPIRANGA;SANTO ANT‌NIO DO I‌‌;AM;2‌ 56' 25'' S;69‌ 41' 39'' W
SWIQ;GO0019;AEROPORTO MUNICIPAL JOS‌ CAIRES DE OLIVEIRA;MINA‌U;GO;13‌ 32' 57'' S;48‌ 11' 44'' W
SWJN;MT0007;JU‌NA;JU‌NA;MT;11‌ 25' 10'' S;58‌ 42' 36'' W
SWJW;GO0008;JATA‌;JATA‌;GO;17‌ 49' 48'' S;51‌ 46' 31'' W
SWKC;MT0017;C‌CERES;C‌CERES;MT;16‌ 2' 33'' S;57‌ 37' 48'' W
SWKO;AM0010;COARI;COARI;AM;4‌ 8' 3'' S;63‌ 7' 57'' W
SWKQ;PI0004;SERRA DA CAPIVARA/S‌O RAIMUNDO NONATO;S‌O RAIMUNDO NONATO;PI;9‌ 5' 0'' S;42‌ 38' 41'' W
SWKT;GO0015;CATAL‌O;CATAL‌O;GO;18‌ 13' 1'' S;47‌ 53' 58'' W
SWLB;AM0024;L‌BREA;L‌BREA;AM;7‌ 16' 44'' S;64‌ 46' 10'' W
SWLC;GO0009;GENERAL LEITE DE CASTRO;RIO VERDE;GO;17‌ 50' 5'' S;50‌ 57' 22'' W
SWME;GO0033;MINEIROS;MINEIROS;GO;17‌ 33' 5'' S;52‌ 33' 24'' W
SWMW;AM0020;MAU‌S;MAU‌S;AM;3‌ 22' 19'' S;57‌ 43' 29'' W
SWNH;GO0017;ARUAN‌;ARUAN‌;GO;14‌ 55' 59'' S;51‌ 2' 54'' W
SWNK;AM0011;NOVO CAMPO;BOCA DO ACRE;AM;8‌ 50' 5'' S;67‌ 18' 45'' W
SWNQ;GO0016;NIQUEL‌NDIA;NIQUEL‌NDIA;GO;14‌ 26' 11'' S;48‌ 29' 31'' W
SWNS;GO0004;AN‌POLIS;AN‌POLIS;GO;16‌ 21' 45'' S;48‌ 55' 41'' W
SWOB;AM0014;FONTE BOA;FONTE BOA;AM;2‌ 31' 57'' S;66‌ 4' 60'' W
SWPG;MT0010;PORTO DOS GA‌CHOS;PORTO DOS GA‌CHOS;MT;11‌ 32' 24'' S;57‌ 22' 41'' W
SWPI;AM0006;PARINTINS;PARINTINS;AM;2‌ 40' 25'' S;56‌ 46' 39'' W
SWPK;MT0021;POCON‌;POCON‌;MT;16‌ 16' 18'' S;56‌ 39' 4'' W
SWPM;RO0009;PIMENTA BUENO;PIMENTA BUENO;RO;11‌ 38' 29'' S;61‌ 10' 44'' W
SWPR;GO0029;PIRES DO RIO;PIRES DO RIO;GO;17‌ 19' 8'' S;48‌ 20' 7'' W
SWPY;MT0023;PRIMAVERA DO LESTE;PRIMAVERA DO LESTE;MT;15‌ 33' 45'' S;54‌ 19' 50'' W
SWPZ;GO0010;OURI‌ANGA DE ABREU;POSSE;GO;14‌ 7' 5'' S;46‌ 20' 43'' W
SWRO;RO0002;AEROCLUBE DE ROND‌NIA;PORTO VELHO;RO;8‌ 47' 39'' S;63‌ 51' 27'' W
SWTO;TO0008;PARA‌SO DO TOCANTINS;PARA‌SO DO TOCANTINS;TO;10‌ 10' 26'' S;48‌ 55' 58'' W
SWTP;AM0022;SANTA ISABEL DO RIO NEGRO;SANTA ISABEL DO RIO NEGRO;AM;0‌ 22' 43'' S;64‌ 59' 35'' W
SWTS;MT0012;TANGAR‌ DA SERRA;TANGAR‌ DA SERRA;MT;14‌ 39' 43'' S;57‌ 26' 38'' W
SWTY;TO0009;TAGUATINGA;TAGUATINGA;TO;12‌ 26' 6'' S;46‌ 24' 1'' W
SWUA;GO0011;S‌O MIGUEL DO ARAGUAIA;S‌O MIGUEL DO ARAGUAIA;GO;13‌ 20' 2'' S;50‌ 12' 21'' W
SWUD;MG0069;DEPUTADO OSWALDO TOLENTINO;CL‌UDIO;MG;20‌ 26' 45'' S;44‌ 48' 47'' W
SWUZ;GO0025;BRIGADEIRO ARARIPE MACEDO;LUZI‌NIA;GO;16‌ 15' 42'' S;47‌ 58' 7'' W
SWVC;MT0016;VILA RICA;VILA RICA;MT;9‌ 58' 52'' S;51‌ 8' 26'' W
SWWA;GO0012;PORANGATU;PORANGATU;GO;13‌ 24' 16'' S;49‌ 9' 26'' W
SWWU;GO0013;URUA‌U;URUA‌U;GO;14‌ 32' 41'' S;49‌ 5' 28'' W
SWXM;MT0014;REGIONAL ORLANDO VILLAS BOAS;MATUP‌;MT;10‌ 10' 12'' S;54‌ 57' 14'' W
SWXQ;SP0015;LINS;LINS;SP;21‌ 39' 46'' S;49‌ 43' 52'' W
SWXV;MT0013;XAVANTINA;NOVA XAVANTINA;MT;14‌ 41' 27'' S;52‌ 20' 57'' W
SWYN;AM0023;APU‌;APU‌;AM;7‌ 10' 20'' S;59‌ 50' 20'' W
