cod_ICAO,CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE
97,SBZM,MG0006,PRESIDENTE ITAMAR FRANCO,GOIANÁ,MG,21° 30' 47'' S,43° 10' 23'' W
99,SNBR,BA0011,DOM RICARDO WEBERBERGER,BARREIRAS,BA,12° 4' 45'' S,45° 0' 34'' W
100,SNMZ,PA0020,PORTO DE MOZ,PORTO DE MOZ,PA,1° 44' 29'' S,52° 14' 9'' W
101,SNTF,BA0016,TEIXEIRA DE FREITAS,TEIXEIRA DE FREITAS,BA,17° 31' 28'' S,39° 40' 6'' W
102,SNVB,BA0008,VALENÇA,VALENÇA,BA,13° 17' 47'' S,38° 59' 33'' W
103,SNVS,PA0015,BREVES,BREVES,PA,1° 38' 11'' S,50° 26' 36'' W
104,SNYA,PA0024,AERÓDROMO PÚBLICO DE ALMEIRIM,ALMEIRIM,PA,1° 28' 45'' S,52° 34' 41'' W
105,SSKW,RO0004,CACOAL,CACOAL,RO,11° 29' 44'' S,61° 27' 3'' W
108,SWFX,MT0022,SÃO FÉLIX DO ARAGUAIA,SÃO FÉLIX DO ARAGUAIA,MT,11° 37' 57'' S,50° 41' 22'' W
109,SWHP,MT0006,FREDERICO CARLOS MÜLLER,ÁGUA BOA,MT,14° 1' 11'' S,52° 9' 7'' W
110,SWJN,MT0007,JUÍNA,JUÍNA,MT,11° 25' 10'' S,58° 42' 36'' W
111,SWLC,GO0009,GENERAL LEITE DE CASTRO,RIO VERDE,GO,17° 50' 5'' S,50° 57' 22'' W
112,SWMW,AM0020,MAUÉS,MAUÉS,AM,3° 22' 19'' S,57° 43' 29'' W
113,SWPI,AM0006,PARINTINS,PARINTINS,AM,2° 40' 25'' S,56° 46' 39'' W
114,swsi,MT0002,PRESIDENTE JOÃO BATISTA FIGUEIREDO,SINOP,MT,11 53 6 S,55 35 10 W 
115,SWTS,MT0012,TANGARÁ DA SERRA,TANGARÁ DA SERRA,MT,14° 39' 43'' S,57° 26' 38'' W
116,SBCZ,AC0002,CRUZEIRO DO SUL,CRUZEIRO DO SUL,AC,7° 35' 58'' S,72° 46' 10'' W
117,SBRB,AC0001,PLÁCIDO DE CASTRO,RIO BRANCO,AC,9° 52' 6'' S,67° 53' 53'' W
