cod_ICAO,CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE
459,SSWS,RS0025,CAÇAPAVA DO SUL,CAÇAPAVA DO SUL,RS,30° 32' 59'' S,53° 27' 29'' W
460,SSXX,SC0017,MUNICIPAL JOÃO WINCKLER,XANXERÊ,SC,26° 52' 30'' S,52° 22' 22'' W
461,SSZR,RS0027,LUIS ALBERTO LEHR,SANTA ROSA,RS,27° 54' 32'' S,54° 31' 20'' W
462,SWBC,AM0017,BARCELOS,BARCELOS,AM,0° 58' 52'' S,62° 55' 10'' W
463,SWBE,CE0006,WALFRIDO SALMITO DE ALMEIDA,SÃO BENEDITO,CE,4° 2' 34'' S,40° 53' 38'' W
464,SWBG,MT0009,ANDRÉ ANTÔNIO MAGGI,PONTES E LACERDA,MT,15° 11' 36'' S,59° 23' 7'' W
465,SWBR,AM0018,BORBA,BORBA,AM,4° 24' 22'' S,59° 36' 9'' W
466,SWCB,GO0023,CAMPOS BELOS,CAMPOS BELOS,GO,13° 0' 25'' S,46° 42' 39'' W
467,SWCQ,RO0007,COSTA MARQUES,COSTA MARQUES,RO,12° 25' 14'' S,64° 15' 6'' W
468,SWCZ,GO0024,CERES,CERES,GO,15° 20' 38'' S,49° 36' 16'' W
469,SWDM,MT0015,DIAMANTINO,DIAMANTINO,MT,14° 22' 36'' S,56° 24' 2'' W
470,SWDN,TO0006,DIANÓPOLIS,DIANÓPOLIS,TO,11° 35' 43'' S,46° 50' 52'' W
471,SWEK,MT0024,CANARANA,CANARANA,MT,13° 34' 39'' S,52° 16' 5'' W
472,SWFN,AM0002,FLORES,MANAUS,AM,3° 4' 22'' S,60° 1' 16'' W
473,SWFR,GO0014,FORMOSA,FORMOSA,GO,15° 33' 22'' S,47° 20' 41'' W
474,SWGI,TO0004,GURUPI,GURUPI,TO,11° 44' 22'' S,49° 8' 0'' W
475,SWHT,AM0019,HUMAITÁ,HUMAITÁ,AM,7° 32' 5'' S,63° 4' 20'' W
476,SWII,AM0013,IPIRANGA,SANTO ANTÔNIO DO IÇÁ,AM,2° 56' 25'' S,69° 41' 39'' W
477,SWIQ,GO0019,AEROPORTO MUNICIPAL JOSÉ CAIRES DE OLIVEIRA,MINAÇU,GO,13° 32' 57'' S,48° 11' 44'' W
478,SWJW,GO0008,JATAÍ,JATAÍ,GO,17° 49' 48'' S,51° 46' 31'' W
479,SWKC,MT0017,CÁCERES,CÁCERES,MT,16° 2' 33'' S,57° 37' 48'' W
480,SWKO,AM0010,COARI,COARI,AM,4° 8' 3'' S,63° 7' 57'' W
481,SWKQ,PI0004,SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO,SÃO RAIMUNDO NONATO,PI,9° 5' 0'' S,42° 38' 41'' W
482,SWKT,GO0015,CATALÃO,CATALÃO,GO,18° 13' 1'' S,47° 53' 58'' W
483,SWME,GO0033,MINEIROS,MINEIROS,GO,17° 33' 5'' S,52° 33' 24'' W
484,SWNH,GO0017,ARUANÃ,ARUANÃ,GO,14° 55' 59'' S,51° 2' 54'' W
485,SWNK,AM0011,NOVO CAMPO,BOCA DO ACRE,AM,8° 50' 5'' S,67° 18' 45'' W
486,SWNQ,GO0016,NIQUELÂNDIA,NIQUELÂNDIA,GO,14° 26' 11'' S,48° 29' 31'' W
487,SWNS,GO0004,ANÁPOLIS,ANÁPOLIS,GO,16° 21' 45'' S,48° 55' 41'' W
488,SWOB,AM0014,FONTE BOA,FONTE BOA,AM,2° 31' 57'' S,66° 4' 60'' W
489,SWPG,MT0010,PORTO DOS GAÚCHOS,PORTO DOS GAÚCHOS,MT,11° 32' 24'' S,57° 22' 41'' W
490,SWPK,MT0021,POCONÉ,POCONÉ,MT,16° 16' 18'' S,56° 39' 4'' W
491,SWPM,RO0009,PIMENTA BUENO,PIMENTA BUENO,RO,11° 38' 29'' S,61° 10' 44'' W
492,SWPR,GO0029,PIRES DO RIO,PIRES DO RIO,GO,17° 19' 8'' S,48° 20' 7'' W
493,SWPY,MT0023,PRIMAVERA DO LESTE,PRIMAVERA DO LESTE,MT,15° 33' 45'' S,54° 19' 50'' W
494,SWPZ,GO0010,OURIÇANGA DE ABREU,POSSE,GO,14° 7' 5'' S,46° 20' 43'' W
495,SWRO,RO0002,AEROCLUBE DE RONDÔNIA,PORTO VELHO,RO,8° 47' 39'' S,63° 51' 27'' W
496,SWTO,TO0008,PARAÍSO DO TOCANTINS,PARAÍSO DO TOCANTINS,TO,10° 10' 26'' S,48° 55' 58'' W
497,SWTP,AM0022,SANTA ISABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO,AM,0° 22' 43'' S,64° 59' 35'' W
498,SWTY,TO0009,TAGUATINGA,TAGUATINGA,TO,12° 26' 6'' S,46° 24' 1'' W
499,SWUA,GO0011,SÃO MIGUEL DO ARAGUAIA,SÃO MIGUEL DO ARAGUAIA,GO,13° 20' 2'' S,50° 12' 21'' W
500,SWUD,MG0069,DEPUTADO OSWALDO TOLENTINO,CLÁUDIO,MG,20° 26' 45'' S,44° 48' 47'' W
501,SWUZ,GO0025,BRIGADEIRO ARARIPE MACEDO,LUZIÂNIA,GO,16° 15' 42'' S,47° 58' 7'' W
502,SWVC,MT0016,VILA RICA,VILA RICA,MT,9° 58' 52'' S,51° 8' 26'' W
503,SWWA,GO0012,PORANGATU,PORANGATU,GO,13° 24' 16'' S,49° 9' 26'' W
504,SWWU,GO0013,URUAÇU,URUAÇU,GO,14° 32' 41'' S,49° 5' 28'' W
505,SWXM,MT0014,REGIONAL ORLANDO VILLAS BOAS,MATUPÁ,MT,10° 10' 12'' S,54° 57' 14'' W
506,SWXQ,SP0015,LINS,LINS,SP,21° 39' 46'' S,49° 43' 52'' W
507,SWXV,MT0013,XAVANTINA,NOVA XAVANTINA,MT,14° 41' 27'' S,52° 20' 57'' W
508,SWYN,AM0023,APUÍ,APUÍ,AM,7° 10' 20'' S,59° 50' 20'' W
114,swsi,MT0002 ,PRESIDENTE JOÃO BATISTA FIGUEIREDO,SINOP,MT,11 53 6 S,55 35 10 W 
